timestamp,ticker,price,prev_close,change,pct_change
2026-09-09 01:06 UTC,BKSY,22.08,20.61,1.47,7.13
2026-09-09 01:06 UTC,IONQ,40.47,39.75,0.72,1.81
2026-09-09 01:06 UTC,QNT,50.47,49.62,0.85,1.71
2026-09-09 01:06 UTC,GDYN,7.89,8.07,-0.18,-2.23
2026-09-09 21:20 UTC,BKSY,21.61,22.29,-0.68,-3.05
2026-09-09 21:20 UTC,IONQ,38.14,40.02,-1.88,-4.7
2026-09-09 21:20 UTC,QNT,48.89,51.14,-2.25,-4.4
2026-09-09 21:20 UTC,GDYN,7.85,8.0,-0.15,-1.88
2026-09-10 21:17 UTC,BKSY,20.75,21.6,-0.85,-3.94
2026-09-10 21:17 UTC,IONQ,36.84,38.27,-1.43,-3.74
2026-09-10 21:17 UTC,QNT,48.67,48.88,-0.21,-0.43
2026-09-10 21:17 UTC,GDYN,7.83,8.11,-0.28,-3.45
2026-09-11 21:24 UTC,BKSY,20.61,21.07,-0.46,-2.18
2026-09-11 21:24 UTC,IONQ,36.75,36.95,-0.2,-0.54
2026-09-11 21:24 UTC,QNT,49.03,48.65,0.38,0.78
2026-09-11 21:24 UTC,GDYN,7.98,7.94,0.04,0.5
2026-09-14 22:10 UTC,BKSY,20.8,20.7,0.1,0.48
2026-09-14 22:10 UTC,IONQ,37.5,36.88,0.62,1.68
2026-09-14 22:10 UTC,QNT,49.1,49.23,-0.13,-0.26
2026-09-14 22:10 UTC,GDYN,8.23,8.1,0.13,1.6
2026-09-15 21:48 UTC,BKSY,21.38,20.8,0.58,2.79
2026-09-15 21:48 UTC,IONQ,37.05,37.64,-0.59,-1.57
2026-09-15 21:48 UTC,QNT,48.65,48.99,-0.34,-0.69
2026-09-15 21:48 UTC,GDYN,8.13,8.23,-0.1,-1.22
2026-09-16 21:47 UTC,BKSY,21.52,21.68,-0.16,-0.74
2026-09-16 21:47 UTC,IONQ,36.84,37.04,-0.2,-0.54
2026-09-16 21:47 UTC,QNT,52.01,48.63,3.38,6.95
2026-09-16 21:47 UTC,GDYN,8.02,8.13,-0.11,-1.35
